2025-07-07 18:23:04.571510, esclavo1, Secuencial, 800x800, 300, 13.033s
2025-07-07 18:24:23.058537, esclavo2, Secuencial, 800x800, 600, 25.699s
2025-07-07 18:24:54.378597, esclavo3, Secuencial, 800x800, 600, 25.963s
2025-07-08 01:46:10.287933, esclavo2, Secuencial, 800x600, 100, 0.027s
2025-07-08 01:46:12.557581, esclavo2, Numpy, 1000x800, 150, 0.291s
2025-07-08 01:46:17.483513, esclavo3, juliaCython, 1200x900, 200, 0.164s
2025-07-08 01:46:19.346364, esclavo3, Secuencial, 1500x1200, 300, 0.015s
2025-07-08 01:46:21.493041, esclavo3, Numpy, 1600x1200, 250, 0.157s
2025-07-08 01:46:23.496712, esclavo3, juliaCython, 1800x1400, 400, 0.152s
2025-07-08 01:46:25.374446, esclavo3, Secuencial, 2000x1500, 500, 0.02s
2025-07-08 01:46:30.491257, esclavo3, Numpy, 2200x1800, 600, 0.138s
2025-07-08 01:46:32.573898, esclavo3, juliaCython, 2400x2000, 800, 0.212s
2025-07-08 01:46:34.390483, esclavo3, Secuencial, 3000x2400, 1000, 0.019s
2025-07-08 01:46:36.511713, esclavo3, Numpy, 3200x2500, 1200, 0.132s
2025-07-08 01:46:38.523411, esclavo3, juliaCython, 3500x2800, 1500, 0.138s
2025-07-08 01:46:43.397196, esclavo3, Secuencial, 4000x3000, 2000, 0.018s
2025-07-08 01:46:45.529397, esclavo3, Numpy, 4500x3500, 2500, 0.141s
2025-07-08 01:46:47.569652, esclavo3, juliaCython, 5000x4000, 3000, 0.145s
2025-07-08 01:46:49.446509, esclavo3, Secuencial, 800x600, 100, 0.012s
2025-07-08 01:46:51.614013, esclavo3, Numpy, 1000x800, 150, 0.173s
2025-07-08 01:46:56.614379, esclavo1, juliaCython, 1200x900, 200, 0.18s
2025-07-08 01:46:58.459531, esclavo1, Secuencial, 1500x1200, 300, 0.018s
2025-07-08 01:47:00.615131, esclavo1, Numpy, 1600x1200, 250, 0.17s
2025-07-08 01:47:02.610037, esclavo1, juliaCython, 1800x1400, 400, 0.16s
2025-07-08 01:47:04.465965, esclavo1, Secuencial, 2000x1500, 500, 0.01s
